7474924,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7486860,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7498810,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7510716,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7522443,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7534370,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7546209,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7558082,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7569873,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7581576,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7593356,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7605160,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7616938,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7628842,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7640714,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7652444,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7664320,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7676149,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7688054,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7699855,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7711768,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7723491,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7735370,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7747166,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7759057,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7770854,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7782760,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7794498,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7806413,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7818196,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7830052,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7841847,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7853594,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7865372,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7877173,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7888934,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7900776,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7912480,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7924401,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7936124,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7948041,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7959840,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7971581,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7983384,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
7995153,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8007031,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8018736,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8030527,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8042449,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8054383,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8066171,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8078060,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8089819,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8101715,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8113546,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8125468,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8137350,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8149116,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8160946,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8172856,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8184739,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8196445,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8208248,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8220158,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8231909,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8243770,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8255457,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8267369,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8279177,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8291106,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8302916,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8314758,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8326495,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8338431,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8350223,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8362138,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8373940,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8385816,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8397725,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8409468,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8421355,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8433097,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8444903,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8456737,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8468480,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8480375,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8492166,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8504084,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8515897,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8527754,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8539619,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8551383,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8563168,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8575088,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8586784,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8598459,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8610331,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8622119,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8633933,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8645801,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8657630,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8669335,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8681118,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8692950,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8704829,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8716699,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8728514,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8740376,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8752152,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
8763906,0,-478.4425,0.0000,0.0000,3.1390,0.0000,,
