Time (μs),State,Force (N),Position (m),Velocity (m/s),Angular Position (radian),Angular Velocity (radian/s),Event
3277560,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3289611,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3301626,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3313483,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3325305,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3337222,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3349148,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3361098,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3372903,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3384852,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3396819,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3408660,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3420639,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3432549,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3444510,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3456460,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3468339,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3480336,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3492296,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3504165,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3516103,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3527912,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3539865,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3551821,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3563782,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3575587,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3587546,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3599507,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3611325,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3623258,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3635201,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3647208,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3659136,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3670914,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3682849,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3694815,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3706562,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
3718463,0,-478.4425,0.0000,0.0000,3.1390,0.0000,
