Time (μs),State,Force (N),Position (m),Velocity (m/s),Angular Position (radian),Angular Velocity (radian/s),Event
67075822,0,-1.2522,-0.1541,0.0000,0.0183,0.0000,
67087873,0,-1.2522,-0.1541,0.0000,0.0183,0.0000,
67099825,0,-1.2522,-0.1541,0.0000,0.0183,0.0000,
67111801,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67123800,0,7.0098,-0.1541,0.0000,0.0157,-0.2618,
67135716,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67147572,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67159430,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67171380,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67183336,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67195200,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67207109,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67219088,0,-0.8532,-0.1541,0.0000,0.0157,0.0000,
67231028,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67242936,0,7.4081,-0.1541,0.0000,0.0131,-0.2618,
67254907,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67266846,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67278779,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67290705,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67302569,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67314424,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67326348,0,-0.4542,-0.1541,0.0000,0.0131,0.0000,
67338210,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67350180,0,7.8078,-0.1541,0.0000,0.0105,-0.2618,
67362122,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67373997,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67385858,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67397830,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67409738,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67421570,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67433405,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67445371,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67457288,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67469150,0,-0.0551,-0.1541,0.0000,0.0105,0.0000,
67481126,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67493051,0,8.2069,-0.1541,0.0000,0.0079,-0.2618,
67505000,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67516770,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67528686,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67540425,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67552324,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67564133,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67576012,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67587891,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67599790,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67611674,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67623479,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67635423,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67647332,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67659169,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67671067,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67682896,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67694746,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67706582,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67718370,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67730187,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67742078,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67754014,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67765825,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67777726,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67789457,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67801345,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67813132,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67825033,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67836821,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67848737,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67860466,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67872381,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67884170,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67896056,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67907940,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67919857,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
67931792,0,0.3439,-0.1541,0.0000,0.0079,0.0000,
9895,1,0.3439,-0.1541,0.0000,0.0079,0.0000,start
21646,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
33585,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
45415,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
57336,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
69260,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
81138,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
93037,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
104947,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
116788,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
128625,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
140548,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
152356,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
164271,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
176121,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
188037,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
199921,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
211689,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
223617,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
235546,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
247349,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
259228,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
271015,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
282914,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
294621,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
306542,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
318370,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
330304,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
342209,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
354025,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
365905,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
377602,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
389432,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
401345,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
413268,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
425114,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
436990,1,0.3439,-0.1541,0.0000,0.0079,0.0000,
448790,1,-0.0551,-0.1541,0.0000,0.0105,0.0000,
460653,1,-7.9234,-0.1536,0.0000,0.0105,0.2618,
472685,1,-2.7111,-0.1515,0.0526,0.0105,0.0000,
484692,1,-10.2134,-0.1502,0.2104,0.0079,0.0000,
496696,1,2.0254,-0.1495,0.1227,0.0079,-0.2618,
508727,1,-2.8072,-0.1497,0.0701,0.0052,0.0000,
520634,1,9.0424,-0.1501,-0.0175,0.0079,-0.2618,
532672,1,-5.7986,-0.1508,-0.0351,0.0079,0.2618,
544636,1,3.4143,-0.1504,-0.0701,0.0105,0.0000,
556639,1,-9.3125,-0.1501,0.0351,0.0079,0.2618,
568655,1,6.4117,-0.1499,0.0351,0.0079,-0.2618,
580573,1,-0.5642,-0.1509,0.0175,0.0079,0.0000,
592578,1,5.5735,-0.1511,-0.1052,0.0079,0.0000,
604358,1,1.1942,-0.1515,-0.0175,0.0079,0.0000,
616337,1,2.0707,-0.1515,-0.0351,0.0079,0.0000,
628331,1,0.3176,-0.1515,0.0000,0.0079,0.0000,
640300,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
652088,1,-0.5607,-0.1513,0.0175,0.0079,0.0000,
664040,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
675947,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
687773,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
699576,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
711424,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
723349,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
735256,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
747222,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
758996,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
770876,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
782678,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
794582,1,0.3159,-0.1513,0.0000,0.0079,0.0000,
806396,1,-0.0832,-0.1513,0.0000,0.0105,0.0000,
818225,1,-7.9514,-0.1508,0.0000,0.0105,0.2618,
830108,1,-2.7339,-0.1492,0.0526,0.0105,0.0000,
842102,1,-7.6012,-0.1485,0.1578,0.0079,0.0000,
854115,1,4.6410,-0.1481,0.0701,0.0079,-0.2618,
866119,1,-1.0681,-0.1483,0.0351,0.0052,0.0000,
878074,1,9.0319,-0.1490,-0.0175,0.0079,-0.2618,
890109,1,-4.0525,-0.1501,-0.0701,0.0079,0.2618,
902106,1,5.1639,-0.1501,-0.1052,0.0105,0.0000,
914092,1,-7.9602,-0.1499,0.0000,0.0105,0.2618,
926119,1,-0.9878,-0.1485,0.0175,0.0105,0.0000,
938028,1,-7.1272,-0.1481,0.1402,0.0105,0.0000,
949995,1,-1.8731,-0.1476,0.0351,0.0105,0.0000,
961911,1,-2.3542,-0.1473,0.0526,0.0079,0.0000,
973899,1,5.9934,-0.1480,0.0351,0.0105,-0.2618,
985943,1,-4.4662,-0.1487,-0.0701,0.0105,0.2618,
997958,1,2.9960,-0.1485,-0.0701,0.0131,0.0000,
1009926,1,-9.2534,-0.1481,0.0175,0.0131,0.2618,
1021941,1,-2.2774,-0.1471,0.0351,0.0131,0.0000,
1033886,1,-5.3899,-0.1466,0.1052,0.0105,0.0000,
1045880,1,5.1045,-0.1467,0.0526,0.0105,-0.2618,
1057750,1,0.7530,-0.1473,-0.0175,0.0105,0.0000,
1069635,1,2.1071,-0.1473,-0.0526,0.0131,0.0000,
1081624,1,-8.3908,-0.1467,0.0000,0.0131,0.2618,
1093684,1,-3.1698,-0.1455,0.0526,0.0131,0.0000,
1105647,1,-6.2857,-0.1446,0.1227,0.0105,0.0000,
1117698,1,3.3269,-0.1443,0.0877,0.0105,-0.2618,
